wl,xyln1b,fchi1b,xyln2b,xyln3b,anom1b,anom2b,atki1b,atki2b,fchi2b,gray1b,gray2b,mcla1b,rayn1b,rayn2b,rpan1b,rpmm1b,rpmt1b,aurs2b,aurs1b,clor1b,clor2b,conc1b,conc2b,hirs1b,hirs2b,prsi1b,prsi2b,prsi3b,mclm1b,mclm2b,narm1b,narm2b,smgd1b,smgd2b,pali1b,pali2b,ocul1b,ocul2b,tars1b,vrid1b,vrid2b,opal1b,rose1b,lats1b,lats2b,pvul1b,pvul2b,ecry1b,ecry2b,poro1b,poro2b,ppsi1b,ppsi2b,tars2b,oliv2b,oliv1b
660,16.6016,0.4728,0.7632,0.3948,24.8532,15.8508,9.5528,1.6504,4.7536,4.8044,4.5172,5.062,10.8884,16.9264,1.4188,3.5384,7.4152,16.55,17.424,29.7468,9.438,44.6652,30.1972,24.8712,22.0424,0.5676,0.8748,0.7028,5.4092,6.9336,9.3264,14.1028,14.5984,8.4964,7.6684,9.2916,21.5544,21.9884,13.1332,23.204,3.6584,18.6828,12.3892,14.2728,14.8624,21.3192,32.4984,20.2884,16.7836,20.6584,5.034,9.0808,10.6204,11.0768,8.23,32.4216
662,15.9684,0.502,0.7568,0.3788,25.3084,16.09,9.778,1.7276,4.9692,4.876,4.5908,5.1004,11.1564,17.2108,1.4888,3.6592,7.6256,16.716,17.624,29.9236,9.4956,44.8172,30.3044,25.0352,22.1488,0.574,0.9028,0.7024,5.442,6.9824,9.3804,14.1872,14.8244,8.6516,7.7176,9.3548,22.2512,22.4784,13.2132,23.4192,3.7268,18.8756,12.4932,14.4316,14.968,21.6716,32.7804,20.6264,16.9124,20.7824,5.0812,9.4596,11.0828,11.1428,8.5924,33.0012
664,15.46541667,0.52875,0.7525,0.3675,25.715,16.29708333,9.978333333,1.797916667,5.169583333,4.940833333,4.657083333,5.135416667,11.39708333,17.46375,1.553333333,3.769583333,7.818333333,16.82833333,17.79416667,30.07708333,9.5475,44.94541667,30.40333333,25.17791667,22.2375,0.582083333,0.930416667,0.705,5.470833333,7.02625,9.42875,14.25791667,15.02333333,8.787916667,7.763333333,9.412083333,22.85333333,22.91041667,13.28625,23.60166667,3.785833333,19.04541667,12.5825,14.56625,15.05625,21.98291667,32.97375,20.93083333,17.03875,20.88958333,5.12375,9.822083333,11.53041667,11.205,8.940416667,33.54083333
666,15.03958333,0.559166667,0.750833333,0.36,26.16375,16.51583333,10.20041667,1.87625,5.397916667,5.013333333,4.730416667,5.175,11.6625,17.74291667,1.625833333,3.894583333,8.035833333,16.93333333,17.93416667,30.23416667,9.603333333,45.08,30.51333333,25.33208333,22.32916667,0.594166667,0.965416667,0.712916667,5.502083333,7.07375,9.480416667,14.32916667,15.23833333,8.933333333,7.815416667,9.47625,23.48625,23.37875,13.36583333,23.79791667,3.850416667,19.23291667,12.6775,14.70333333,15.13916667,22.33333333,33.11375,21.26833333,17.19375,21.0025,5.17,10.255,12.07125,11.275,9.346666667,34.145
668,14.795,0.592083333,0.754166667,0.358333333,26.61541667,16.74333333,10.42583333,1.955416667,5.630833333,5.084583333,4.802083333,5.214166667,11.92791667,18.01916667,1.700416667,4.020833333,8.254166667,17.06416667,18.02708333,30.395,9.65875,45.21666667,30.615,25.48708333,22.42625,0.610416667,1.005416667,0.726666667,5.532916667,7.121666667,9.530416667,14.40375,15.4525,9.076666667,7.867083333,9.537916667,24.07958333,23.84333333,13.44291667,23.98666667,3.9125,19.4175,12.77166667,14.82958333,15.20083333,22.70125,33.22458333,21.60416667,17.36708333,21.10916667,5.215416667,10.71791667,12.6525,11.34208333,9.747083333,34.71583333
670,14.77166667,0.626666667,0.762916667,0.364166667,27.075,16.98416667,10.65708333,2.03625,5.868333333,5.155833333,4.872083333,5.2525,12.19583333,18.2975,1.777916667,4.148333333,8.477083333,17.24,18.08791667,30.56541667,9.714583333,45.36375,30.71625,25.64291667,22.52875,0.6325,1.053333333,0.748333333,5.564166667,7.170416667,9.580416667,14.485,15.67041667,9.221666667,7.917083333,9.597916667,24.63333333,24.29916667,13.51958333,24.16833333,3.972916667,19.59916667,12.86625,14.94583333,15.24375,23.08166667,33.33875,21.94125,17.55666667,21.21291667,5.260833333,11.2075,13.27125,11.41,10.13541667,35.24833333
672,15.00125,0.6625,0.778333333,0.379166667,27.53708333,17.22916667,10.89208333,2.11875,6.105416667,5.22625,4.94125,5.292083333,12.46416667,18.57333333,1.8575,4.277916667,8.7025,17.44625,18.14041667,30.73333333,9.770833333,45.51833333,30.82,25.80166667,22.63333333,0.660416667,1.106666667,0.777916667,5.5975,7.220416667,9.6325,14.56625,15.88583333,9.36625,7.96375,9.659583333,25.14791667,24.73875,13.59708333,24.34375,4.032916667,19.77791667,12.96,15.04916667,15.26875,23.45958333,33.47125,22.28041667,17.7625,21.31583333,5.306666667,11.71958333,13.92,11.47708333,10.515,35.75208333
674,15.4688,0.6952,0.7988,0.4028,27.9496,17.4504,11.104,2.1952,6.3172,5.2896,5.0016,5.3264,12.7044,18.8192,1.9296,4.3972,8.906,17.6272,18.1992,30.8824,9.8212,45.6548,30.9096,25.9464,22.7276,0.6912,1.16,0.8116,5.6276,7.2644,9.6796,14.6396,16.0784,9.4956,8.0056,9.7164,25.576,25.1192,13.6652,24.496,4.0864,19.934,13.0436,15.1272,15.2688,23.7896,33.6008,22.5836,17.9608,21.404,5.3476,12.1948,14.5212,11.5344,10.8384,36.1748
676,16.2324,0.732,0.828,0.4388,28.4068,17.7044,11.3404,2.2816,6.55,5.3576,5.0648,5.3616,12.972,19.0912,2.0116,4.5316,9.1308,17.7916,18.276,31.0552,9.8768,45.8072,31.0004,26.104,22.8332,0.7304,1.2248,0.854,5.66,7.312,9.7312,14.724,16.2928,9.6412,8.0532,9.7784,26.0208,25.528,13.7408,24.6584,4.1432,20.104,13.1368,15.1996,15.2472,24.1484,33.7388,22.92,18.1956,21.4976,5.3908,12.7284,15.1952,11.5948,11.17,36.6032
678,17.2624,0.7692,0.8648,0.4868,28.8584,17.956,11.5752,2.3684,6.7772,5.4232,5.1268,5.3952,13.2416,19.3612,2.0952,4.6676,9.3556,17.892,18.3468,31.2268,9.9292,45.9548,31.0848,26.2532,22.934,0.7764,1.2952,0.9024,5.6896,7.3564,9.78,14.804,16.5032,9.7848,8.1012,9.8404,26.43,25.9052,13.8144,24.8128,4.1976,20.2684,13.2268,15.256,15.2056,24.492,33.8496,23.2604,18.4452,21.5892,5.432,13.2608,15.862,11.6512,11.478,36.998
